x_pos, y_pos, orientation, steering_angle, speed
36.4717, -3.22493, 0.473254, 0.6, 0.16
35.6417, -3.06877, 0.490224, 0.58, -0.07
35.6745, -2.78245, 0.394012, 0.69, 0.45
35.9463, -2.1068, 0.465222, 0.62, 0.15
35.7205, -2.93494, 0.397095, 0.63, 0.59
35.8542, -2.61823, 0.481006, 0.62, 0.4
35.9076, -2.548, 0.582601, 0.66, -0.04
34.8343, -1.50704, 0.639848, 0.65, 0.6
35.278, -1.39367, 0.636687, 0.67, 0.27
34.8287, -1.44802, 0.734711, 0.65, 0.72
33.9176, -1.19499, 0.788691, 0.66, -0.11
34.5621, -1.68127, 0.835584, 0.63, 0.02
33.9174, -1.74446, 0.851408, 0.72, -0.06
34.2722, -2.17932, 0.788369, 0.75, 0.05
34.6233, -2.12885, 0.8957, 0.68, 0.37
34.9132, -1.68756, 0.799738, 0.66, 0.33
34.4789, -1.99077, 0.869985, 0.64, -0.45
34.8831, -1.72768, 0.862693, 0.67, 0.74
34.752, -1.05697, 0.815377, 0.6, -0.52
35.7287, -1.10077, 0.891411, 0.6, -0.19
34.931, -1.07627, 0.866482, 0.66, 0.56
34.4302, -1.12441, 0.918131, 0.7, 0.42
35.1698, -1.18164, 1.00165, 0.59, 0.43
34.6381, -0.54418, 1.01673, 0.51, 0.43
34.8701, -0.457588, 1.04101, 0.58, -0.03
34.5033, -0.705174, 1.07953, 0.5, -0.3
33.788, -0.43639, 1.05634, 0.54, -0.17
33.6549, -1.17264, 1.13189, 0.58, -0.43
33.9634, -1.07486, 1.06486, 0.61, -0.16
34.6848, -0.852174, 1.07695, 0.57, -0.58
34.8173, -0.985199, 1.07554, 0.55, -0.65
34.2478, -1.86629, 0.984443, 0.57, -0.79
34.3318, -1.68422, 0.931683, 0.49, 0.17
34.4906, -2.02579, 0.80035, 0.54, 0.05
34.5524, -1.0722, 0.911276, 0.53, 0.96
33.8225, -1.54363, 0.924194, 0.56, 0.64
34.431, -0.572515, 0.940784, 0.66, 0.14
33.9623, -1.06604, 1.01632, 0.66, 0.12
34.247, -0.773373, 1.04912, 0.69, -0.02
